x,y,yaw
1.760700981848189528e+01,2.548383461066280731e+01,-1.319514422131361719e+00
1.768674668310723064e+01,2.503865351811502293e+01,-1.443209390898975819e+00
1.772550866479103604e+01,2.454234330080981863e+01,-1.497737573119877430e+00
1.775957643976065015e+01,2.404341010013115465e+01,-1.502620912722787860e+00
1.779364421473026070e+01,2.354447689945249422e+01,-1.498538044707089956e+00
1.783159215919246066e+01,2.304835919740055772e+01,-1.453277479678470652e+00
1.790548326927875422e+01,2.258666193323060867e+01,-1.381900795482916999e+00
1.800566048846233969e+01,2.213676865980803399e+01,-1.405167325739811179e+00
1.805168783829487111e+01,2.172813147837346293e+01,-1.516143119271754269e+00
1.805057940361868418e+01,2.134017031002234432e+01,-1.637527788774485682e+00
1.800233518443377889e+01,2.097288515475467108e+01,-1.770366162404693133e+00
1.790695518074015880e+01,2.062627601257045384e+01,-1.911165495018058547e+00
1.776443939253781679e+01,2.030034288346968907e+01,-2.054860171867903151e+00
1.757478781982675642e+01,1.999508576745236965e+01,-2.197326301228847534e+00
1.733412029311438829e+01,1.970768916589177877e+01,-2.330143530315278433e+00
1.701037381626921174e+01,1.940654813953264579e+01,-2.449771249747302093e+00
1.661320544581802849e+01,1.911427913550959090e+01,-2.486453594676723000e+00
1.622305116020918092e+01,1.880143005258198841e+01,-2.460364385624100869e+00
1.583685750199614972e+01,1.848490308257307291e+01,-2.438847566846379600e+00
1.546255320640097608e+01,1.815733550490101678e+01,-2.406413227248287434e+00
1.510013827342366710e+01,1.781872731956580225e+01,-2.373794082201608369e+00
1.474961270306421390e+01,1.746907852656743287e+01,-2.341058355700846416e+00
1.441097649532262004e+01,1.710838912590591576e+01,-2.316460629539447424e+00
1.407813194306958060e+01,1.674199511218001746e+01,-2.304967189838608377e+00
1.374741454188664846e+01,1.637310322775523730e+01,-2.241627184405421858e+00
1.348597770597150003e+01,1.599966095501306640e+01,-2.130623306121761651e+00
1.326700528515091371e+01,1.560715843648034706e+01,-2.068488293425032154e+00
1.305563375013896810e+01,1.520752007308757747e+01,-2.057739106785430927e+00
1.284393436571362379e+01,1.480810858541660124e+01,-2.058614955020709125e+00
1.263190713187488434e+01,1.440892397346742015e+01,-2.059490984439029226e+00
1.241955204862274798e+01,1.400996623724003065e+01,-2.060367193751627468e+00
1.220686911595721469e+01,1.361123537673443451e+01,-2.052545749614053339e+00
1.199995604100758761e+01,1.320739539735186341e+01,-2.030950017123887008e+00
1.180247732819231210e+01,1.279523955672681268e+01,-2.068042067931450845e+00
1.154727956331371885e+01,1.237682037247779476e+01,-2.149354412874355802e+00
1.126102103587399483e+01,1.196676013630452218e+01,-2.192166556893754947e+00
1.096754616671405103e+01,1.156702782669204055e+01,-2.244500990918402383e+00
1.065798085128680306e+01,1.120985180839972983e+01,-2.287256888258781817e+00
1.034661259787208287e+01,1.085398802453116751e+01,-2.299352481860385211e+00
1.004895919262809123e+01,1.052688961807811552e+01,-2.246349780134008434e+00
9.828755219860632053e+00,1.021370025605483534e+01,-2.099735122618812788e+00
9.686000679569705341e+00,9.914419938461330517e+00,-1.905817254106175085e+00
9.620695571755314646e+00,9.629048665297599285e+00,-1.660927317214199839e+00
9.632839896417456416e+00,9.357586436563643417e+00,-1.368153456407508184e+00
9.712910474242940850e+00,9.145233603592110683e+00,-9.649301904972229504e-01
9.860720293097740452e+00,9.015687712257186348e+00,-6.344530694417412908e-01
1.001393303509466293e+01,8.921907424882517645e+00,-3.356785822235950345e-01
1.015542178602190937e+01,8.904546153881140569e+00,-7.999061907099673518e-02
1.032349018819086517e+01,8.898175445688988106e+00,-3.864175511797268009e-02
1.049138611454748649e+01,8.891557559986848602e+00,-4.015210731794106869e-02
1.065910956509176977e+01,8.884692496774720283e+00,-4.166538357189945863e-02
1.082666053982371324e+01,8.877580256052604923e+00,-4.318158542859684007e-02
1.099403903874332045e+01,8.870220837820497195e+00,-1.673179893647378513e-01
1.117092610183480694e+01,8.817301456519196279e+00,-4.451988872300737254e-01
1.136456722228139427e+01,8.684909073940280777e+00,-6.051288661292588689e-01
1.164617282251736263e+01,8.487856663000723501e+00,-6.110326351069534923e-01
1.201858230847467013e+01,8.226734868183912752e+00,-5.914116981416261964e-01
1.243427339903315954e+01,7.959518883918876853e+00,-5.422091010689870094e-01
1.285649898758330245e+01,7.721619364747548175e+00,-5.610725914271457171e-01
1.322492453502564658e+01,7.464645565945224881e+00,-6.085414775110231655e-01
1.359360612042867800e+01,7.208039911496087804e+00,-6.075431814490960258e-01
1.396254374379239493e+01,6.951802401400134279e+00,-6.065448856751335382e-01
1.433173740511680094e+01,6.695933035657366972e+00,-6.055465921789213724e-01
1.470118710440189425e+01,6.440431814267783217e+00,-6.045483029502211059e-01
1.507089284164767307e+01,6.185298737231385680e+00,-6.035500199787363629e-01
1.544085461685413918e+01,5.930533804548173471e+00,-6.245552891523749039e-01
1.580477328267187254e+01,5.656137132361417130e+00,-6.463657767057338077e-01
1.612805449015426262e+01,5.412070774138465268e+00,-5.190431367939297713e-01
